No,EventCodeEnum,Value,Used,Notify,Description
311,COGNEX_DONESTATE,0x00031000,,,
312,COGNEX_READINGSTATE,0x00031001,,,
313,COGNEX_CONFIG_INVALID,0x00031002,,,
314,COGNEX_SCORE_IS_UNDER_CUTLINE,0x00031003,,,
315,COGNEX_IS_MANUAL,0x00031004,,,
316,COGNEX_OUT_OF_MODULE_INDEX,0x00031005,,,
317,COGNEX_ABORT,0x00031006,,,
318,OCR_READ_FAIL,0x00031007,,O,
319,OCR_READ_FAIL_MANUAL,0x00031008,,O,
320,OCR_CHECKSUM_FAIL,0x00031009,,O,
321,OCR_RETRY_FAIL,0x0003100A,,,
322,OCR_AUTO_CALIBRATION_FAIL,0x0003100B,,,
323,OCR_NOT_MATCHED_CASSETTE_SLOT,0x0003100C,,,
324,OCR_NOT_MATCHED_LOT_NAME,0x0003100D,,,
325,OCR_RESULT_ALREADY_PROBED_WAFERID,0x0003100E,,,
326,LOADER_ARM_TO_BUFFER_TRANSFER_ERROR,0x00031100,,O,
327,LOADER_ARM_TO_STAGE_TRANSFER_ERROR,0x00031101,,O,
328,LOADER_ARM_TO_FIXED_TRANSFER_ERROR,0x00031102,,O,
329,LOADER_ARM_TO_INSP_TRANSFER_ERROR,0x00031103,,O,
330,LOADER_ARM_TO_PREALIGN_TRANSFER_ERROR,0x00031104,,O,
331,LOADER_ARM_TO_SLOT_TRANSFER_ERROR,0x00031105,,O,
332,LOADER_BUFFER_TO_ARM_TRANSFER_ERROR,0x00031106,,O,
333,LOADER_CARM_TO_CBUFFER_TRANSFER_ERROR,0x00031107,,O,
334,LOADER_CARM_TO_STAGE_TRANSFER_ERROR,0x00031108,,O,
335,LOADER_CARM_TO_CARDTRAY_TRANSFER_ERROR,0x00031109,,O,
336,LOADER_CBUFFER_TO_CARM_TRANSFER_ERROR,0x00031110,,O,
337,LOADER_STAGE_TO_CARM_TRANSFER_ERROR,0x00031111,,O,
338,LOADER_TRAY_TO_CARM_TRANSFER_ERROR,0x00031112,,O,
339,LOADER_STAGE_TO_ARM_TRANSFER_ERROR,0x00031113,,O,
340,LOADER_FIXED_TO_ARM_TRANSFER_ERROR,0x00031114,,O,
341,LOADER_INSP_TO_ARM_TRANSFER_ERROR,0x00031115,,O,
342,LOADER_PREALIGN_TO_ARM_TRANSFER_ERROR,0x00031116,,O,
343,LOADER_SLOT_TO_ARM_TRANSFER_ERROR,0x00031117,,O,
344,LOADER_SYSTEM_ERROR,0x00032000,,,
345,LOADER_STATE_INVALID,0x00032001,,,
346,LOADER_WAFER_MISSED_ON_ARM,0x00032002,,O,
347,FOUP_ERROR,0x00032003,,O,
348,FOUP_ILLEGAL,0x00032004,,,
349,FOUP_PARAM_ERROR,0x00032005,,,
350,FOUP_SCAN_FAILED,0x00032006,,O,
351,FOUP_SCAN_NOTDETECT,0x00032007,,O,
352,FOUP_SCAN_WAFEROUT,0x00032008,,O,
353,FOUP_TIMEOUT,0x00032009,,,
354,RECIVE_WRONG_RESULT_DATA,0x00032010,,,
355,GPIB_READ_FAIL,0x00032011,,,
356,GPIB_READ_FAIL,0x00032011,,,
357,NOT_PNPMODULE,0x00032012,,,
358,INITVIEWMODEL_EXCEPTION,0x00032013,,,
359,PAGE_SWITCHED_EXCEPTION,0x00032014,,,
360,SUB_RECOVERY,0x00032015,,,
361,SUB_SKIP,0x00032016,,,
362,SUB_ERROR,0x00032017,,,
363,SUB_SUSPEND,0x00032018,,,
364,LOADER_CST_FAILED,0x00032020,,,
365,FOUP_OPEN_ERROR,0x00032021,,O,
366,FOUP_CLOSE_ERROR,0x00032022,,O,
367,FOUP_LOAD_ERROR,0x00032023,,O,
368,FOUP_UNLOAD_ERROR,0x00032024,,O,
369,CASSETTE_NOT_READY,0x00032025,,,
370,CASSETTE_LOCK_ERROR,0x00032026,,O,
371,CASSETTE_UNLOCK_ERROR,0x00032027,,O,
372,CASSETTE_UNDOCK_COMMAND_REJECTED,0x00032028,,,
373,FOUP_SEQUENCE_END,0x00032029,,,
374,LOADER_PA_FAILED,0x00032030,,O,
375,FOUP_SEQUENCE_NULL,0x00032039,,,
376,LOADER_BUFF_FAILED,0x00032040,,,
377,LOADER_STAGE_FAILED,0x00032050,,,
378,LOADER_STAGE_FAILED,0x00032050,,,
379,FOUP_LOADED_STATE_VALIDATION_FAIL,0x00032051,,,
380,FOUP_UNLOADED_STATE_VALIDATION_FAIL,0x00032052,,,
381,LOADER_CC_FAILED,0x00032060,,,
382,LOADER_FT_FAILED,0x00032070,,,
383,LOADER_CARDBUFF_FAILED,0x00032080,,,
384,LOADER_PA_ORG_FAILED,0x00032090,,,
385,LOADER_PA_ALGN_FAILED,0x00032091,,,
386,LOADER_PA_MOVE_FAILED,0x00032092,,,
387,LOADER_PA_WAF_UNEXPECTED,0x00032093,,,
388,LOADER_PA_WAF_MISSED,0x00032094,,O,
389,LOADER_FIXED_TRAY_WAF_MISSED,0x00032095,,O,
390,LOADER_BUFFER_WAF_MISSED,0x00032096,,O,
391,LOADER_PUT_ERROR_BUT_NOTEXIST_IN_ARM,0x00032097,,,
392,ARM_DANGEROUS_POS,0x00032100,,,
393,ARM_VAC_ERROR,0x00032101,,,
394,LOADER_PA_ERROR_CLEAR_FAILED,0x00032102,,,
395,LOADER_PA_RST_MOVE_FAILED,0x00032103,,,
396,LOADER_PA_DATAWRITE_FAILED,0x00032104,,,
397,LOADER_PA_ROTATE_FAILED,0x00032105,,,
398,FOUP_CHECK_IO_DONE,0x00032139,,,
399,FOUP_CHECK_IO_ERROR,0x00032140,,,
400,LOADER_PA_VAC_ERROR,0x00032200,,O,
401,LOADER_FIND_NOTCH_FAIL,0x00032201,,O,
402,LOADER_RIGHT_DOOR_OPEN,0x00032300,,O,
403,LOADER_LEFT_DOOR_OPEN,0x00032301,,O,
404,CANNOT_TRANSFER,0x00032400,,O,
405,ARM_TO_BUFFER,0x00032600,,,
406,ARM_TO_STAGE,0x00032601,,,
407,ARM_TO_FIXED,0x00032602,,,
408,ARM_TO_INSP,0x00032603,,,
409,ARM_TO_PREALIGN,0x00032604,,,
410,ARM_TO_SLOT,0x00032605,,O,
411,CARM_TO_CBUFFER,0x00032606,,,
412,CARM_TO_STAGE,0x00032607,,,
413,CARM_TO_CARDTRAY,0x00032608,,,
414,CBUFFER_TO_CARM,0x00032609,,,
415,STAGE_TO_CARM,0x0003260A,,,
416,TRAY_TO_CARM,0x0003260B,,,
417,BUFFER_TO_ARM,0x0003260C,,,
418,STAGE_TO_ARM,0x0003260D,,O,
419,FIXED_TO_ARM,0x0003260E,,,
420,INSP_TO_ARM,0x0003260F,,,
421,PREALIGN_TO_ARM,0x00032610,,,
422,PREALIGN_TO_OCR,0x00032611,,,
423,SLOT_TO_ARM,0x00032612,,,
424,LOADER_ROBOTCMD_TIMEOUT,0x00032900,,,
425,CARD_CHANGE_FAIL,0x00033000,,O,
426,GP_CardCahnge_NOT_EXIST_CARD_ON_CARD_POD,0x00033001,,,
427,GP_CardChage_EXIST_CARD_ON_CARD_POD,0x00033002,,,
428,GP_CardChange_CARD_POD_IS_UP_STATUS,0x00033003,,,
429,GP_CardChange_CARD_POD_IS_DOWN_STATUS,0x00033004,,,
430,GP_CardChange_CARD_IS_TOUCHED_ON_POGO,0x00033005,,,
