PropertyPath;ElementID;ElementName;ElementAdmin;AssociateElementID;CategoryID;Unit;LowerLimit;UpperLimit;ReadMaskingLevel;WriteMaskingLevel;Description;VID
PinAligner.PinAlignDevParameters.PinAlignSettignParameter[7].SamplePinToleranceZ;20000878;Pin Align Sample Pin Tolerance Z;Gordon;;10025001;micron;1;10;1;1;Tolerance of pin position tolerance Z in sample alignment;0
PinAligner.PinAlignDevParameters.PinAlignSettignParameter[7].SourceName;20000866;EMPTY;Gordon;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
PinAligner.PinAlignDevParameters.PinAlignSettignParameter[8].CardCenterToleranceX;20000884;Pin Align Card Center Pos Tolerance X;Gordon;;10025001;micron;0;10000;1;1;Tolerance of probecard center position X;0
PinAligner.PinAlignDevParameters.PinAlignSettignParameter[8].CardCenterToleranceY;20000885;Pin Align Card Center Pos Tolerance Y;Gordon;;10025001;micron;0;10000;1;1;Tolerance of probecard center position Y;0
PinAligner.PinAlignDevParameters.PinAlignSettignParameter[8].CardCenterToleranceZ;20000886;Pin Align Card Center Pos Tolerance Z;Gordon;;10025001;micron;0;10000;1;1;Tolerance of probecard center position Z;0
PinAligner.PinAlignDevParameters.PinAlignSettignParameter[8].EachPinToleranceX;20000881;Pin Align Each Pos Tolerance X;Gordon;;10025001;micron;0;10000;1;1;Tolerance of individual pin position X;0
PinAligner.PinAlignDevParameters.PinAlignSettignParameter[8].EachPinToleranceY;20000882;Pin Align Each Pos Tolerance Y;Gordon;;10025001;micron;0;10000;1;1;Tolerance of individual pin position Y;0
PinAligner.PinAlignDevParameters.PinAlignSettignParameter[8].EachPinToleranceZ;20000883;Pin Align Each Pos Tolerance Z;Gordon;;10025001;micron;0;10000;1;1;Tolerance of individual pin position Z;0
PinAligner.PinAlignDevParameters.PinAlignSettignParameter[8].MinMaxZDiffLimit;20000887;Pin Align Min/Max Height Tolerance;Gordon;;10025001;micron;0;10000;1;1;Tolerance of maximum height difference in pin alignment result;0
PinAligner.PinAlignDevParameters.PinAlignSettignParameter[8].PinCount;20000880;Processing Pin Count;Gordon;;10025001;;1;10000;1;1;Number of pin that will be proceed in alignment process;0
PinAligner.PinAlignDevParameters.PinAlignSettignParameter[8].SamplePinAlignmentPinCount;20000888;Sample Pin Count;Gordon;;10025001;;0;10000;1;1;Number of pin that will be proceed in sample alignment process;0
PinAligner.PinAlignDevParameters.PinAlignSettignParameter[8].SamplePinToleranceX;20000889;Pin Align Sample Pin Tolerance X;Gordon;;10025001;micron;1;10;1;1;Tolerance of pin position tolerance X in sample alignment;0
PinAligner.PinAlignDevParameters.PinAlignSettignParameter[8].SamplePinToleranceY;20000890;Pin Align Sample Pin Tolerance Y;Gordon;;10025001;micron;1;10;1;1;Tolerance of pin position tolerance Y in sample alignment;0
PinAligner.PinAlignDevParameters.PinAlignSettignParameter[8].SamplePinToleranceZ;20000891;Pin Align Sample Pin Tolerance Z;Gordon;;10025001;micron;1;10;1;1;Tolerance of pin position tolerance Z in sample alignment;0
PinAligner.PinAlignDevParameters.PinAlignSettignParameter[8].SourceName;20000879;EMPTY;;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
PinAligner.PinAlignDevParameters.PinAlignSettignParameter[9].CardCenterToleranceX;20010284;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
PinAligner.PinAlignDevParameters.PinAlignSettignParameter[9].CardCenterToleranceY;20010283;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
PinAligner.PinAlignDevParameters.PinAlignSettignParameter[9].CardCenterToleranceZ;20010286;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
